Found 2 clusters
         36857989 function calls (36842332 primitive calls) in 57.549 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 widgets.py:1440(_SelectorWidget)
        1    0.000    0.000    0.000    0.000 indexing.py:1519(_LocIndexer)
       11    0.000    0.000    0.000    0.000 _color_data.py:31(<genexpr>)
        1    0.000    0.000    0.000    0.000 widgets.py:1949(RectangleSelector)
        3    0.000    0.000    0.000    0.000 pathlib.py:341(gethomedir)
        1    0.000    0.000    0.000    0.000 collections.py:1105(LineCollection)
        6    0.000    0.000    0.000    0.000 common.py:195(is_categorical)
        5    0.000    0.000    0.000    0.000 _pylab_helpers.py:101(get_active)
        1    0.000    0.000    0.000    0.000 offsetbox.py:950(AnchoredOffsetbox)
        1    0.000    0.000    0.000    0.000 patches.py:625(Rectangle)
        1    0.000    0.000    0.000    0.000 groupby.py:355(Grouper)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5270(rayleigh_gen)
        3    0.000    0.000    0.000    0.000 text.py:539(set_clip_box)
        1    0.000    0.000    0.000    0.000 gridspec.py:145(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:2055(Grid)
        1    0.000    0.000    0.000    0.000 internals.py:1852(ExtensionBlock)
        1    0.000    0.000    0.000    0.000 canonical_constraint.py:5(CanonicalConstraint)
        2    0.000    0.000    0.000    0.000 validation.py:125(_shape_repr)
        2    0.000    0.000    0.000    0.000 nanops.py:493(_nanminmax)
        1    0.000    0.000    0.000    0.000 __init__.py:586(after)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_w_long)
        6    0.000    0.000    0.000    0.000 rcsetup.py:596(validate_svg_fonttype)
        2    0.000    0.000    0.000    0.000 backend_bases.py:2972(update)
       32    0.000    0.000    0.000    0.000 lines.py:859(get_drawstyle)
        2    0.000    0.000    0.000    0.000 frame.py:3093(_box_item_values)
        1    0.000    0.000    0.000    0.000 artist.py:1088(ArtistInspector)
        1    0.000    0.000    0.000    0.000 geo.py:442(LambertAxes)
        4    0.000    0.000    0.000    0.000 legend_handler.py:179(__init__)
        3    0.000    0.000    0.000    0.000 blas.py:343(get_blas_funcs)
        2    0.000    0.000    0.000    0.000 __init__.py:1753(get_label)
        1    0.000    0.000    0.000    0.000 _core.py:1310(HistPlot)
        1    0.000    0.000    0.000    0.000 <string>:5(Ks_2sampResult)
        1    0.000    0.000    0.000    0.000 internals.py:3785(<listcomp>)
        1    0.000    0.000    0.000    0.000 header.py:541(_Accumulator)
        1    0.000    0.000    0.000    0.000 tight_bbox.py:3(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
        1    0.000    0.000    0.000    0.000 laguerre.py:1764(Laguerre)
        2    0.000    0.000    0.000    0.000 _multivariate.py:1679(__init__)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 common.py:431(BytesZipFile)
        1    0.000    0.000    0.000    0.000 axis.py:2164(YAxis)
        2    0.000    0.000    0.000    0.000 transforms.py:1637(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:1923(suppress_warnings)
       16    0.000    0.000    0.000    0.000 pyparsing.py:294(__getitem__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:1580(wishart_gen)
        1    0.000    0.000    0.000    0.000 transforms.py:1718(AffineBase)
        1    0.000    0.000    0.000    0.000 tempfile.py:296(__next__)
        1    0.000    0.000    0.000    0.000 tz.py:1454(__get_gettz)
        7    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 parsers.py:1779(close)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1444(IPv4Network)
        3    0.000    0.000    0.000    0.000 rcsetup.py:108(validate_path_exists)
        9    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 version.py:69(__ge__)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:275(__init__)
        1    0.000    0.000    0.000    0.000 nanops.py:318(nanany)
        2    0.000    0.000    0.000    0.000 generic.py:2498(_set_as_cached)
        3    0.000    0.000    0.000    0.000 dtypes.py:266(construct_from_string)
        1    0.000    0.000    0.000    0.000 _hungarian.py:10(<module>)
        1    0.000    0.000    0.000    0.000 rrule.py:1105(_iterinfo)
        1    0.000    0.000    0.000    0.000 _ode.py:102(ode)
        1    0.000    0.000    0.000    0.000 pytables.py:69(BinOp)
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
        3    0.000    0.000    0.000    0.000 internals.py:5020(_asarray_compat)
        1    0.000    0.000    0.000    0.000 mathtext.py:1532(List)
        1    0.000    0.000    0.000    0.000 decorator.py:85(FunctionMaker)
        1    0.000    0.000    0.000    0.000 ssl.py:346(Purpose)
        4    0.000    0.000    0.000    0.000 artist.py:848(set_visible)
        2    0.000    0.000    0.000    0.000 config.py:481(deprecate_option)
        3    0.000    0.000    0.000    0.000 base.py:912(__iter__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3289(__init__)
        8    0.000    0.000    0.000    0.000 datetimelike.py:280(_join_i8_wrapper)
        1    0.000    0.000    0.000    0.000 interpolate.py:1877(NdPPoly)
        1    0.000    0.000    0.000    0.000 cast.py:867(maybe_infer_to_datetimelike)
        1    0.000    0.000    0.000    0.000 synchronize.py:47(SemLock)
        1    0.000    0.000    0.000    0.000 _parser.py:247(parserinfo)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1298(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:404(XTick)
        1    0.000    0.000    0.000    0.000 ticker.py:2057(LogLocator)
        6    0.000    0.000    0.000    0.000 __init__.py:689(clear)
        1    0.000    0.000    0.000    0.000 memory.py:384(MemorizedFunc)
        1    0.000    0.000    0.000    0.000 data.py:187(_min_or_max)
        4    0.000    0.000    0.000    0.000 backend_bases.py:915(set_clip_rectangle)
        1    0.000    0.000    0.000    0.000 info.py:184(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:374(CalledProcessError)
        1    0.000    0.000    0.000    0.000 gzip.py:375(_GzipReader)
        1    0.000    0.000    0.000    0.000 textpath.py:387(TextPath)
        6    0.000    0.000    0.000    0.000 collections.py:908(get_paths)
        1    0.000    0.000    0.000    0.000 interpolate.py:927(PPoly)
        2    0.000    0.000    0.000    0.000 tokenize.py:381(read_or_stop)
        3    0.000    0.000    0.000    0.000 base.py:615(is_)
        1    0.000    0.000    0.000    0.000 tarfile.py:602(_FileInFile)
        1    0.000    0.000    0.000    0.000 sputils.py:245(validateaxis)
        1    0.000    0.000    0.000    0.000 offsets.py:1419(_WeekOfMonthMixin)
        2    0.000    0.000    0.000    0.000 random.py:84(__init__)
        1    0.000    0.000    0.000    0.000 _internal.py:216(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 tz.py:189(tzlocal)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:630(_load_backward_compatible)
        1    0.000    0.000    0.000    0.000 mathtext.py:217(MathtextBackendPs)
        1    0.000    0.000    0.000    0.000 category.py:109(StrCategoryLocator)
        4    0.000    0.000    0.000    0.000 missing.py:32(isna)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1471(ravel)
        1    0.000    0.000    0.000    0.000 parsers.py:1789(_set_noconvert_columns)
        1    0.000    0.000    0.000    0.000 tz.py:36(tzutc)
        1    0.000    0.000    0.000    0.000 fitpack2.py:916(BivariateSpline)
        5    0.000    0.000    0.000    0.000 rcsetup.py:153(validate_float_or_None)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:10(Gcf)
        1    0.000    0.000    0.000    0.000 groupby.py:5019(DataSplitter)
       32    0.000    0.000    0.000    0.000 markers.py:288(get_capstyle)
        1    0.000    0.000    0.000    0.000 triplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 main.py:48(TestProgram)
        1    0.000    0.000    0.000    0.000 __init__.py:3469(Spinbox)
        2    0.000    0.000    0.000    0.000 sre_parse.py:473(<listcomp>)
        1    0.000    0.000    0.000    0.000 mathtext.py:370(Fonts)
        2    0.000    0.000    0.000    0.000 transforms.py:1648(_init)
        2    0.000    0.000    0.000    0.000 _base.py:1754(_sci)
        2    0.000    0.000    0.000    0.000 config.py:550(_get_root)
        4    0.000    0.000    0.000    0.000 pyparsing.py:292(__init__)
        4    0.000    0.000    0.000    0.000 config.py:565(_get_deprecated_option)
        1    0.000    0.000    0.000    0.000 accessor.py:13(DirNamesMixin)
        1    0.000    0.000    0.000    0.000 version.py:267(LooseVersion)
        2    0.000    0.000    0.000    0.000 {method 'tobytes' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 offsets.py:855(CustomBusinessDay)
        6    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 excel.py:992(_OpenpyxlWriter)
        1    0.000    0.000    0.000    0.000 csc.py:19(csc_matrix)
        2    0.000    0.000    0.000    0.000 __init__.py:790(createLock)
        1    0.000    0.000    0.000    0.000 kmeans.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ticker.py:1810(MaxNLocator)
        1    0.000    0.000    0.000    0.000 pytables.py:4285(GenericTable)
        1    0.000    0.000    0.000    0.000 transforms.py:1019(TransformedBbox)
        1    0.000    0.000    0.000    0.000 ipaddress.py:539(_BaseAddress)
        1    0.000    0.000    0.000    0.000 threading.py:891(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 widgets.py:635(TextBox)
        1    0.000    0.000    0.000    0.000 data.py:1180(PolynomialFeatures)
        1    0.000    0.000    0.000    0.000 offsetbox.py:843(AuxTransformBox)
        1    0.000    0.000    0.000    0.000 collections.py:1297(EventCollection)
        1    0.000    0.000    0.000    0.000 queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 transforms.py:1621(TransformWrapper)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:323(_get_typecodes)
        1    0.000    0.000    0.000    0.000 internals.py:2627(DatetimeBlock)
        6    0.000    0.000    0.000    0.000 numpy_pickle_utils.py:71(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:191(UTC)
        1    0.000    0.000    0.000    0.000 ticker.py:1399(Locator)
        1    0.000    0.000    0.000    0.000 excel.py:332(ExcelFile)
        1    0.000    0.000    0.000    0.000 artist.py:1223(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:1840(wm_withdraw)
        1    0.000    0.000    0.000    0.000 _datasource.py:265(DataSource)
        1    0.000    0.000    0.000    0.000 common.py:77(_is_url)
        2    0.000    0.000    0.000    0.000 config.py:593(_translate_key)
        1    0.000    0.000    0.000    0.000 polynomial.py:1606(Polynomial)
       13    0.000    0.000    0.000    0.000 mixins.py:30(_reflected_binary_method)
        3    0.000    0.000    0.000    0.000 _base.py:2976(get_xbound)
        1    0.000    0.000    0.000    0.000 _multivariate.py:345(__init__)
        2    0.000    0.000    0.000    0.000 core.py:6333(__setattr__)
        2    0.000    0.000    0.000    0.000 tokenize.py:387(find_cookie)
        2    0.000    0.000    0.000    0.000 textwrap.py:357(fill)
        1    0.000    0.000    0.000    0.000 nonlin.py:551(InverseJacobian)
        7    0.000    0.000    0.000    0.000 internals.py:127(_check_ndim)
        1    0.000    0.000    0.000    0.000 base.py:176(BaseEstimator)
        1    0.000    0.000    2.554    2.554 _backend_tk.py:1035(mainloop)
        2    0.000    0.000    0.000    0.000 sre_parse.py:855(addgroup)
        1    0.000    0.000    0.000    0.000 widgets.py:1890(ToolHandles)
        1    0.000    0.000    0.000    0.000 rrule.py:1300(rruleset)
        1    0.000    0.000    0.000    0.000 collections.py:1026(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 numerictypes.py:687(issubdtype)
        1    0.000    0.000    0.000    0.000 _core.py:804(PlanePlot)
        1    0.000    0.000    0.000    0.000 __init__.py:370(_FixedOffset)
        1    0.000    0.000    0.000    0.000 deprecation.py:8(deprecated)
        1    0.000    0.000    0.000    0.000 base.py:8(_DtypeOpsMixin)
        2    0.000    0.000    0.000    0.000 util.py:73(compose)
        3    0.000    0.000    0.000    0.000 pytables.py:1530(set_name)
        1    0.000    0.000    0.000    0.000 rbf.py:57(Rbf)
        1    0.000    0.000    0.000    0.000 backend_tools.py:1024(ToolHelpBase)
        4    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 numpy_pickle_compat.py:149(ZipNumpyUnpickler)
        6    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        4    0.000    0.000    0.000    0.000 polynomial.py:1062(_coeffs)
        1    0.000    0.000    0.000    0.000 argparse.py:1586(ArgumentParser)
        3    0.000    0.000    0.000    0.000 datetime.py:40(_days_before_year)
       12    0.000    0.000    0.000    0.000 mixins.py:40(_inplace_binary_method)
       15    0.000    0.000    0.000    0.000 _decorators.py:60(<genexpr>)
        1    0.000    0.000    0.000    0.000 pytables.py:4688(Selection)
        1    0.000    0.000    0.000    0.000 patches.py:1407(Ellipse)
        1    0.000    0.000    0.000    0.000 expr.py:717(Expr)
        1    0.000    0.000    0.000    0.000 image.py:781(AxesImage)
        1    0.000    0.000    0.000    0.000 transforms.py:1865(Affine2D)
        4    0.000    0.000    0.000    0.000 transforms.py:2447(transform_path_non_affine)
        4    0.000    0.000    0.000    0.000 base.py:635(_reset_identity)
        1    0.000    0.000    0.000    0.000 backend_tools.py:26(Cursors)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2023(suppress)
        1    0.000    0.000    0.000    0.000 __init__.py:124(lrange)
        1    0.000    0.000    0.000    0.000 dviread.py:766(PsfontsMap)
        6    0.000    0.000    0.000    0.000 copy.py:253(_keep_alive)
       20    0.000    0.000    0.000    0.000 ops.py:945(<genexpr>)
        3    0.000    0.000    0.000    0.000 legend_handler.py:210(__init__)
        2    0.000    0.000    0.000    0.000 config.py:226(__call__)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 chainmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 internals.py:3784(_consolidate_check)
        1    0.000    0.000    0.000    0.000 figure.py:60(AxesStack)
        1    0.000    0.000    0.000    0.000 pyplot.py:620(close)
        1    0.000    0.000    0.000    0.000 records.py:304(recarray)
        1    0.000    0.000    0.000    0.000 ssl.py:353(SSLContext)
        1    0.000    0.000    0.000    0.000 common.py:250(groupby)
        1    0.000    0.000    0.000    0.000 widgets.py:2538(PolygonSelector)
        1    0.000    0.000    0.000    0.000 argparse.py:1151(FileType)
        1    0.000    0.000    2.554    2.554 __init__.py:406(mainloop)
        2    0.000    0.000    0.000    0.000 colors.py:860(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:167(__call__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:845(<lambda>)
        1    0.000    0.000    0.001    0.001 data.py:576(fit)
        1    0.000    0.000    0.000    0.000 _style.py:107(_Options)
        1    0.000    0.000    0.000    0.000 offsets.py:1585(QuarterOffset)
        1    0.000    0.000    0.000    0.000 patches.py:4324(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 socket.py:532(SocketIO)
        1    0.000    0.000    0.000    0.000 parsers.py:1213(_validate_parse_dates_arg)
        1    0.000    0.000    0.000    0.000 frozen.py:17(FrozenList)
        2    0.000    0.000    0.000    0.000 _base.py:143(__init__)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:594(NavigationToolbar2Tk)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2182(mpl_disconnect)
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        1    0.000    0.000    0.001    0.001 series.py:3323(reindex)
        1    0.000    0.000    0.000    0.000 six.py:164(_SixMetaPathImporter)
        1    0.000    0.000    0.018    0.018 _backend_tk.py:604(__init__)
        1    0.000    0.000    0.000    0.000 base.py:85(PandasObject)
        1    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        2    0.000    0.000    0.000    0.000 generic.py:3674(<genexpr>)
        2    0.000    0.000    0.000    0.000 base.py:1938(<lambda>)
        1    0.000    0.000    0.000    0.000 figure.py:173(__init__)
        6    0.000    0.000    0.000    0.000 _version.py:78(_compare_version)
        1    0.000    0.000    0.000    0.000 info.py:156(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:2238(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1362(IPv4Interface)
        1    0.000    0.000    0.000    0.000 info.py:86(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:837(BusinessHour)
        1    0.000    0.000    0.000    0.000 generic.py:317(_construct_axes_from_arguments)
        1    0.000    0.000    0.000    0.000 transforms.py:55(TransformNode)
        4    0.000    0.000    0.000    0.000 axis.py:958(_set_artist_props)
       12    0.000    0.000    0.000    0.000 axis.py:1482(_update_axisinfo)
        1    0.000    0.000    0.000    0.000 ops.py:178(Op)
        1    0.000    0.000    0.000    0.000 pathlib.py:126(<setcomp>)
        1    0.000    0.000    0.000    0.000 _parser.py:1361(_result)
       16    0.000    0.000    0.000    0.000 scale.py:60(__init__)
        6    0.000    0.000    0.000    0.000 parsers.py:1092(<genexpr>)
        1    0.000    0.000    0.000    0.000 tritools.py:10(TriAnalyzer)
        1    0.000    0.000    0.000    0.000 _core.py:1164(BarPlot)
        1    0.000    0.000    0.000    0.000 _depr_module.py:4(<module>)
       28    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 parsers.py:1234(ParserBase)
        2    0.000    0.000    0.000    0.000 _util.py:156(__init__)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:293(CubicTriInterpolator)
        2    0.000    0.000    0.000    0.000 transforms.py:2144(__init__)
        1    0.000    0.000    0.000    0.000 genericpath.py:111(_splitext)
        1    0.000    0.000    0.000    0.000 context.py:39(cpu_count)
        1    0.000    0.000    0.000    0.000 expr.py:698(PandasExprVisitor)
        1    0.000    0.000    0.001    0.001 pyplot.py:2746(plot)
        3    0.000    0.000    0.000    0.000 legend_handler.py:340(__init__)
        4    0.000    0.000    0.000    0.000 deprecation.py:34(__init__)
        1    0.000    0.000    0.000    0.000 figure.py:541(set_constrained_layout_pads)
        4    0.000    0.000    0.000    0.000 common.py:1578(is_bool_dtype)
        1    0.000    0.000    0.000    0.000 weakref.py:155(__setitem__)
        1    0.000    0.000    0.000    0.000 internals.py:3266(<listcomp>)
        1    0.000    0.000    0.000    0.000 figure.py:1021(_make_key)
       14    0.000    0.000    0.000    0.000 axis.py:376(<dictcomp>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2469(notify_axes_change)
        1    0.000    0.000    0.000    0.000 kde.py:42(gaussian_kde)
        1    0.000    0.000    0.000    0.000 transforms.py:1095(LockableBbox)
        1    0.000    0.000    0.000    0.000 dbscan.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyplot.py:585(get_fignums)
        1    0.000    0.000    0.000    0.000 version.py:93(StrictVersion)
        1    0.000    0.000    0.000    0.000 pool.py:740(ThreadPool)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 _compat.py:17(with_metaclass)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1275(addCondition)
        1    0.000    0.000    0.000    0.000 _multivariate.py:178(multi_rv_generic)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:586(set_window_title)
        6    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 nonlin.py:912(BroydenFirst)
        1    0.000    0.000    0.000    0.000 suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.000    0.000 json.py:582(Parser)
        1    0.000    0.000    0.000    0.000 frozen.py:84(FrozenNDArray)
        1    0.000    0.000    0.000    0.000 parallel.py:123(BatchedCalls)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty_like}
        1    0.000    0.000    0.000    0.000 backend_tools.py:562(ToolViewsPositions)
        1    0.000    0.000    0.000    0.000 dates.py:950(DateLocator)
        2    0.000    0.000    0.000    0.000 collections.py:392(set_hatch)
        1    0.000    0.000    0.000    0.000 index_tricks.py:231(AxisConcatenator)
        2    0.000    0.000    0.000    0.000 __init__.py:1080(__init__)
        1    0.000    0.000    0.000    0.000 quadpack.py:808(_RangeFunc)
        1    0.000    0.000    0.000    0.000 dbscan.py:6(__init__)
        1    0.000    0.000    0.000    0.000 nonlin.py:1049(Anderson)
        1    0.000    0.000    0.000    0.000 gridspec.py:305(<dictcomp>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:721(source_to_code)
        2    0.000    0.000    0.000    0.000 range.py:84(_ensure_int)
        6    0.000    0.000    0.000    0.000 nanops.py:834(make_nancomp)
        1    0.000    0.000    0.000    0.000 rk.py:81(RungeKutta)
        1    0.000    0.000    0.004    0.004 mathtext.py:2738(<lambda>)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4938(pearson3_gen)
        1    0.000    0.000    0.001    0.001 geo.py:268(AitoffAxes)
        1    0.000    0.000    0.000    0.000 ssl.py:325(_ASN1Object)
        1    0.000    0.000    0.000    0.000 polar.py:19(PolarTransform)
        1    0.000    0.000    0.000    0.000 collections.py:1780(QuadMesh)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:997(_BackendTk)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        1    0.000    0.000    0.000    0.000 backend_tools.py:958(ToolPan)
        1    0.000    0.000    0.000    0.000 backend_tools.py:832(ToolZoom)
        1    0.000    0.000    0.001    0.001 request.py:881(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.putmask}
        1    0.000    0.000    0.000    0.000 _memory_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:79(DictReader)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6253(gennorm_gen)
        1    0.000    0.000    0.000    0.000 internals.py:2088(ComplexBlock)
        1    0.000    0.000    0.000    0.000 offsets.py:878(__init__)
        1    0.000    0.000    0.000    0.000 nonlin.py:692(LowRankMatrix)
        1    0.000    0.000    0.000    0.000 engines.py:41(AbstractEngine)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4814(pareto_gen)
        1    0.000    0.000    0.000    0.000 pytables.py:226(FilterBinOp)
        3    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3179(_Backend)
        1    0.000    0.000    0.000    0.000 dates.py:1573(MicrosecondLocator)
        1    0.000    0.000    0.000    0.000 __init__.py:3390(PhotoImage)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4883(lomax_gen)
        2    0.000    0.000    0.000    0.000 pyparsing.py:645(<listcomp>)
        1    0.000    0.000    0.000    0.000 logger.py:63(Logger)
        1    0.000    0.000    0.000    0.000 index_tricks.py:609(IndexExpression)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5136(powerlognorm_gen)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2314(invwishart_gen)
       11    0.000    0.000    0.000    0.000 _compat.py:9(_mpl_version)
        1    0.000    0.000    0.000    0.000 calendar.py:69(<listcomp>)
        1    0.000    0.000    0.000    0.000 widgets.py:61(Widget)
        1    0.000    0.000    0.000    0.000 backend_agg.py:372(FigureCanvasAgg)
        1    0.000    0.000    0.000    0.000 nosetester.py:115(NoseTester)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1329(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:956(winfo_toplevel)
        1    0.000    0.000    0.000    0.000 ticker.py:1669(Base)
        1    0.000    0.000    0.000    0.000 parsers.py:713(TextFileReader)
        1    0.000    0.000    0.000    0.000 __init__.py:1972(Pack)
        1    0.000    0.000    0.000    0.000 groupby.py:4928(PanelGroupBy)
        1    0.000    0.000    0.000    0.000 __init__.py:2477(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2018(__init__)
        6    0.000    0.000    0.000    0.000 validation.py:152(<genexpr>)
        1    0.000    0.000    0.000    0.000 kdtree.py:77(Rectangle)
        6    0.000    0.000    0.000    0.000 accessor.py:125(__init__)
        1    0.000    0.000    0.000    0.000 dtypes.py:675(construct_from_string)
        1    0.000    0.000    0.000    0.000 patches.py:561(Shadow)
        1    0.000    0.000    0.000    0.000 collections.py:1564(EllipseCollection)
        1    0.000    0.000    0.000    0.000 Image.py:41(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 polyint.py:221(KroghInterpolator)
        1    0.000    0.000    0.000    0.000 six.py:469(Module_six_moves_urllib)
        6    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 offsets.py:521(__init__)
        2    0.000    0.000    0.000    0.000 common.py:395(_apply_if_callable)
        1    0.000    0.000    0.000    0.000 fitpack2.py:519(InterpolatedUnivariateSpline)
        1    0.000    0.000    0.000    0.000 dtypes.py:156(_finalize)
        1    0.000    0.000    0.000    0.000 error.py:39(HTTPError)
        1    0.000    0.000    0.000    0.000 align.py:44(_filter_special_cases)
        1    0.000    0.000    0.000    0.000 minimize_trustregion_constr.py:38(LagrangianHessian)
        1    0.000    0.000    0.000    0.000 sputils.py:16(<listcomp>)
        1    0.000    0.000    0.000    0.000 _core.py:837(ScatterPlot)
        1    0.000    0.000    0.000    0.000 pydoc.py:422(__init__)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 merge.py:484(_MergeOperation)
        1    0.000    0.000    0.000    0.000 offsets.py:924(CustomBusinessHour)
        1    0.000    0.000    0.000    0.000 csv.py:129(DictWriter)
        1    0.000    0.000    0.000    0.000 data.py:738(MaxAbsScaler)
        1    0.000    0.000    0.000    0.000 polar.py:207(_AxisWrapper)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2413(__init__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 internals.py:5755(JoinUnit)
        1    0.000    0.000    0.000    0.000 stackplot.py:8(<module>)
        4    0.000    0.000    0.001    0.000 spines.py:176(cla)
        5    0.000    0.000    0.000    0.000 rcsetup.py:413(validate_aspect)
        1    0.000    0.000    0.000    0.000 easter.py:5(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.sysconf}
        1    0.000    0.000    0.000    0.000 algorithms.py:1070(SelectN)
        6    0.000    0.000    0.000    0.000 axis.py:1372(get_major_locator)
        1    0.000    0.000    0.000    0.000 __init__.py:31(Bunch)
       12    0.000    0.000    0.000    0.000 plotting.py:11(outer)
        1    0.000    0.000    0.000    0.000 inspect.py:2504(BoundArguments)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5333(reciprocal_gen)
        1    0.000    0.000    0.000    0.000 enum.py:556(IntEnum)
        1    0.000    0.000    0.000    0.000 colorbar.py:1042(Colorbar)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5083(powerlaw_gen)
        1    0.000    0.000    0.000    0.000 __init__.py:625(get_configdir)
        1    0.000    0.000    0.000    0.000 generic.py:4436(f)
        1    0.000    0.000    0.000    0.000 _cubic.py:19(PchipInterpolator)
        1    0.000    0.000    0.000    0.000 case.py:43(_Outcome)
        1    0.000    0.000    0.000    0.000 numeric.py:831(flatnonzero)
        1    0.000    0.000    0.000    0.000 zipfile.py:473(_ZipDecrypter)
        1    0.000    0.000    0.000    0.000 data.py:1659(KernelCenterer)
        1    0.000    0.000    0.000    0.000 threading.py:201(Condition)
        1    0.000    0.000    0.000    0.000 dtypes.py:278(validate_ordered)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
