Found 2 clusters
         36857989 function calls (36842332 primitive calls) in 57.549 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      372    0.001    0.000    0.003    0.000 inspect.py:2747(replace)
       37    0.001    0.000    0.252    0.007 __init__.py:1(<module>)
      795    0.001    0.000    0.001    0.000 transforms.py:1725(__init__)
      234    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      808    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(parent)
     1592    0.001    0.000    0.001    0.000 artist.py:1225(is_alias)
      140    0.001    0.000    0.006    0.000 markers.py:294(set_marker)
       45    0.001    0.000    0.001    0.000 transforms.py:1965(rotate)
        9    0.001    0.000    0.001    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
      340    0.001    0.000    0.001    0.000 _util.py:292(<listcomp>)
        1    0.001    0.001    0.096    0.096 _continuous_distns.py:5(<module>)
      420    0.001    0.000    0.001    0.000 sre_compile.py:386(_simple)
       64    0.001    0.000    0.027    0.000 text.py:892(get_window_extent)
    146/2    0.001    0.000    0.111    0.056 artist.py:42(draw_wrapper)
      991    0.001    0.000    0.001    0.000 sre_parse.py:105(__init__)
       32    0.001    0.000    0.006    0.000 backend_agg.py:167(draw_text)
       32    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       80    0.001    0.000    0.001    0.000 ticker.py:769(pprint_val)
     1043    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:159(__init__)
      380    0.001    0.000    0.001    0.000 inspect.py:447(unwrap)
      808    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:314(__enter__)
     2422    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       31    0.001    0.000    0.007    0.000 _collections_abc.py:756(update)
       99    0.001    0.000    0.003    0.000 path.py:96(__init__)
      388    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     3300    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     1508    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      430    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      129    0.001    0.000    0.001    0.000 inspect.py:573(cleandoc)
      217    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      647    0.001    0.000    0.003    0.000 {built-in method builtins.next}
       25    0.001    0.000    0.002    0.000 __init__.py:1239(_substitute)
      940    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:789(find_spec)
      669    0.001    0.000    0.001    0.000 artist.py:310(pchanged)
        8    0.001    0.000    0.042    0.005 axis.py:1015(_update_ticks)
       48    0.001    0.000    0.001    0.000 config.py:414(register_option)
      158    0.001    0.000    0.001    0.000 _decorators.py:247(__call__)
     3079    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      468    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      184    0.000    0.000    0.001    0.000 enum.py:51(__setitem__)
       64    0.000    0.000    0.015    0.000 font_manager.py:1159(findfont)
      808    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
      561    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       86    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
      175    0.000    0.000    0.001    0.000 transforms.py:2354(__init__)
      380    0.000    0.000    0.019    0.000 inspect.py:2733(from_callable)
